"Country","Deaths/1M","Top_Deaths","Tests/1M","Top_Tests"
"Senegal","16","121","7,997.00","159","Senegal"
"Serbia","79","59","96,474.00","54","Serbia"
"Seychelles","0","190","0","196","Seychelles"
"Sierra Leone","9","136","0","196","Sierra Leone"
"Singapore","5","154","298,108.00","15","Singapore"
"Sint Maarten","396","15","46,179.00","92","Sint Maarten"
"Slovakia","6","147","55,681.00","83","Slovakia"
"Slovenia","62","70","70,752.00","66","Slovenia"
"Somalia","6","147","0","196","Somalia"
"South Africa","212","30","58,581.00","82","South Africa"
"South Sudan","4","161","1,074.00","191","South Sudan"
"Spain","616","5","170,147.00","29","Spain"
"Sri Lanka","0.5","182","9,102.00","154","Sri Lanka"
"St. Barth","0","190","171,946.00","28","St. Barth"
"St. Vincent Grenadines","0","190","27,327.00","117","St. Vincent Grenadines"
"Sudan","18","113","9","194","Sudan"
"Suriname","94","55","10,026.00","151","Suriname"
"Sweden","574","8","101,900.00","53","Sweden"
"Switzerland","231","27","105,073.00","50","Switzerland"
"Syria","5","154","0","196","Syria"
"Taiwan","0.3","186","3,592.00","176","Taiwan"
"Tajikistan","7","145","0","196","Tajikistan"
"Tanzania","0.4","183","0","196","Tanzania"
"Thailand","0.8","179","10,730.00","147","Thailand"
"Timor-Leste","0","190","3,206.00","177","Timor-Leste"
"Togo","3","168","6,713.00","164","Togo"
"Trinidad and Tobago","9","136","12,882.00","143","Trinidad and Tobago"
"Tunisia","5","154","10,071.00","149","Tunisia"
"Turkey","72","62","71,770.00","65","Turkey"
"Turks and Caicos","52","76","50,015.00","88","Turks and Caicos"
"UAE","37","88","632,496.00","7","UAE"
"UK","609","6","223,407.00","18","UK"
"USA","536","10","222,984.00","19","USA"
"Uganda","0.4","183","7,332.00","162","Uganda"
"Ukraine","50","79","31,049.00","113","Ukraine"
"Uruguay","12","131","44,435.00","95","Uruguay"
"Uzbekistan","8","140","41,089.00","100","Uzbekistan"
"Vatican City","0","190","0","196","Vatican City"
"Venezuela","11","132","59,056.00","80","Venezuela"
"Vietnam","0.3","186","8,385.00","157","Vietnam"
"Western Sahara","2","175","0","196","Western Sahara"
"Yemen","18","113","4","195","Yemen"
"Zambia","15","124","5,584.00","171","Zambia"
"Zimbabwe","10","133","10,056.00","150","Zimbabwe"
